Título,Engenharia
REDUÇÃO DA ALCALINIDADE DO RESÍDUO DE BAUXITA,1
ISOLAMENTO EM EDIFICAÇÕES À BASE DE NANOMATERIAIS,0
"DIAGNÓSTICO DO USO, POTENCIAL E VIABILIDADE DA PRODUÇÃO DE ENERGIA SOLAR, EÓLICA E DE BIOMASSA NO ESTADO DO MARANHÃO",3
A RELEVÂNCIA DOS ELEMENTOS NARRATIVOS EM RESENHAS DE GAMES: O CASO DE THE LAST OF US,2
CONCRETO REFORÇADO COM FIBRAS DE COCO BABAÇU: APLICAÇÃO E RESISTENCIA DO MATERIAL.,1
PROPOSTA DE GERAÇÃO DE ENERGIA ELÉTRICA ATRAVÉS DE MICROGERADORES EÓLICOS PARA ATENDIMENTO RESIDENCIAL NO LITORAL MARANHENSE,1
ESTUDO BIBLIOGRÁFICO DA VIABILIDADE DE UMA USINA DE MAREMOTRIZ NA BARRAGEM DO BACANGA (SAO LUÍS - MA),1
ESTUDO BIBLIOGRÁFICO DA VIABILIDADE DE UMA USINA DE MAREMOTRIZ NA BARRAGEM DO BACANGA (SÃO LUÍS-MA).,0
ESTUDO DA FUNÇÃO THETA DE RAMANUJAN E THETA DE RAMANUJAN TRUNCADA,0
MAPEAMENTO DA OFERTA COMERCIAL DE ADITIVOS PARA USO EM CONCRETOS E ARGAMASSAS PRODUZIDOS NOS CANTEIROS DE OBRAS DA CIDADE DE SÃO LUÍS/MA: UM ESTUDO DE CASO,2
CARACTERIZAÇÃO MECÂNICA DE COMPÓSITO CIMENTÍCIO REFORÇADO COM FIBRAS CURTAS DE POLIACRILONITRILA (PAN) PLASTIFICADA COM GLICEROL,1
ANÁLISE DINÂMICA DE COMPÓSITO CIMENTÍCIO REFORÇADO COM FIBRAS DE POLIACRILONITRILA (PAN) PLASTIFICADA COM GLICEROL,1
ESTUDO DA INFLUÊNCIA DA GEOMETRIA DOS BLOCOS ESTRUTURAIS NO COMPORTAMENTO MECÂNICO DA ALVENARIA,1
ORGANIZAÇÃO DOS CONTEIROS DE OBRAS COM FOCO NA MELHORIA DA QUALIDADE E PRODUTIVIDADE NA CONSTRUÇÃO CIVIL,1
REQUALIFICAÇÃO DE ESPAÇOS URBANOS POR SIMULAÇÃO EM MINECRAFT: UMA ÁREA DE VIVÊNCIA NA UFMA,1
O USO DE NANOMATERIAIS EM CONCRETO NA CONSTRUÇÃO CIVIL,2
A UTILIZAÇÃO DE NANOTUBOS DE CARBONO NO MELHORAMENTO DA RESISTÊNCIA DO CONCRETO,2
CONSTRUÇÃO HABITACIONAL SUSTENTÁVEL: COBERTURA VERDE,2
REDUÇÃO DA ALCALINIDADE DO RESÍDUO DA BAUXITA,1
REDUÇÃO DA ALCALINIDADE DO RESÍDUO DE BAUXITA,1
REABILITAÇÃO EM ESTRUTURAS DE CONCRETO ARMADO SOB INFLUÊNCIA DE AMBIENTE MARINHO. ESTUDO DE CASO EM UM CONDOMÍNIO RESIDENCIAL EM SÃO LUÍS-MA,1
ANALISE DA RESISTENCIA DO CONCRETO COM UTILIZAÇÃO DA AREIA DAS PRAIS DE SÃO LUIS.,1
ESTUDO DOS MECANISMOS DE RESISTÊNCIA AO CISALHAMENTO EM VIGAS DE CONCRETO ARMADO SEM ARMADURA TRANSVERSAL,1
ORGANIZAÇÃO DOS CANTEIROS DE OBRAS COM FOCO NA MELHORIA DA QUALIDADE E PRODUTIVIDADE NA CONSTRUÇÃO CIVIL,1
AVALIAÇÃO DE RECOBRIMENTOS CERÂMICOS FORMADOS EM SUPERFÍCIE DE LIGAS DE ALUMÍNIO ATRAVÉS DE ELETRODEPOSIÇÃO A PLASMA.,1
RESÍDUOS SÓLIDOS DA CONSTRUÇÃO CIVIL: REUTILIZAÇÃO NA PAVIMENTAÇÃO,5
ANÁLISE MICROESTRUTURAL DO FERRO FUNDIDO CINZENTO PARA FIXAÇÃO DOS ANODOS EMPREGADOS EM CUBA ELETROLÍTICA HALL HÉROULT,1
AVALIAÇÃO DA QUALIDADE DOS TIJOLOS CERAMICOS QUANTA A NORMA.,1
UM ESTUDO SOBRE FERRAMENTAS DE MODELAGEM NO PROJETO DE SISTEMAS EMBARCADOS.,2
ESTUDO DE CODIFICAÇÃO E PROCESSAMENTO DE IMAGENS PARA RECONHECIMENTO BIOMÉTRICO,1
NANOMATERIAIS NA CONSTRUÇÃO CIVIL: APLICAÇÃO EM REVESTIMENTOS E PINTURAS,1
AVALIAÇÃO DA QUALIDADE DOS TIJOLOS CERAMICOS QUANTO A NORMA,1
PATOLOGIAS EM FACHADA DE EDIFICAÇÕES: UM ESTUDO DE CASO,0
"A INFLUENCIA DOS MATERIAIS DE CONSTRUÇÃO, DA ARQUITETURA E DO MEIO NO DESEMPENHO TÉRMICO DAS EDIFICAÇÕES.",1
"DIAGNÓSTICO DO USO, POTENCIAL E VIABILIDADE DA PRODUÇÃO DE ENERGIA SOLAR, EÓLICA E DE BIOMASSA NO ESTADO DO MARANHÃO",1
ATUAÇÃO DA RELAÇÃO AGUA/CIMENTO NAS PROPRIEDADES DO CONCRETO.,1
ESTUDO DO COMPORTAMENTO DAS TENSÕES EM ESTRUTURAS COM FUROS,5
A UTILIZAÇÃO DE CONTÊINER COMO ALTERNATIVA SUSTENTÁVEL PARA A CONSTRUÇÃO CIVIL NO MUNICÍPIO DE SÃO LUIS/MA.,1
CONSTRUÇÃO SUSTENTAVEL DE HABITAÇÕES A BAIXO CUSTO,1
UMA ANÁLISE ELEMENTAR DO MODELO MATEMÁTICO DE DIFUSÃO DO CLORETO NO CONCRETO,1
ESTUDO DE VIABILIDADE DE APLICAÇÃO DE UMA ARQUITETURA DE INTEGRAÇÃO DE PLATAFORMAS NA IMPLEMENTAÇÃO DE SOFTWARE EMBARCADO PARA ANDROID.,2
